date,home_team,away_team,home_score,away_score,outcome,home_odds,away_odds,injuries_home,injuries_away,home_team_norm,away_team_norm
2025-10-06,Milwaukee Bucks,Miami Heat,1,103,93,NBA,,,,milwaukeebucks,miamiheat
2025-10-03,Phoenix Suns,Los Angeles Lakers,1,103,81,NBA,,,,phoenixsuns,losangeleslakers
2025-05-31,New York Knicks,Indiana Pacers,0,108,125,NBA,,,,newyorkknicks,indianapacers
2025-05-29,Indiana Pacers,New York Knicks,0,94,111,NBA,,,,indianapacers,newyorkknicks
2025-05-28,Minnesota Timberwolves,Oklahoma City Thunder,0,94,124,NBA,,,,minnesotatimberwolves,oklahomacitythunder
2025-05-27,New York Knicks,Indiana Pacers,0,121,130,NBA,,,,newyorkknicks,indianapacers
2025-05-26,Oklahoma City Thunder,Minnesota Timberwolves,1,128,126,NBA,,,,oklahomacitythunder,minnesotatimberwolves
2025-05-25,New York Knicks,Indiana Pacers,1,106,100,NBA,,,,newyorkknicks,indianapacers
2025-05-24,Oklahoma City Thunder,Minnesota Timberwolves,0,101,143,NBA,,,,oklahomacitythunder,minnesotatimberwolves
2025-05-23,Indiana Pacers,New York Knicks,1,114,109,NBA,,,,indianapacers,newyorkknicks
2025-05-22,Minnesota Timberwolves,Oklahoma City Thunder,0,103,118,NBA,,,,minnesotatimberwolves,oklahomacitythunder
2025-05-21,Indiana Pacers,New York Knicks,1,138,135,NBA,,,,indianapacers,newyorkknicks
2025-05-20,Minnesota Timberwolves,Oklahoma City Thunder,0,88,114,NBA,,,,minnesotatimberwolves,oklahomacitythunder
2025-05-18,Denver Nuggets,Oklahoma City Thunder,0,93,125,NBA,,,,denvernuggets,oklahomacitythunder
2025-05-16,Boston Celtics,New York Knicks,0,81,119,NBA,,,,bostonceltics,newyorkknicks
2025-05-15,Oklahoma City Thunder,Denver Nuggets,0,107,119,NBA,,,,oklahomacitythunder,denvernuggets
2025-05-14,New York Knicks,Boston Celtics,0,102,127,NBA,,,,newyorkknicks,bostonceltics
2025-05-14,Golden State Warriors,Minnesota Timberwolves,0,110,121,NBA,,,,goldenstatewarriors,minnesotatimberwolves
2025-05-13,Indiana Pacers,Cleveland Cavaliers,1,114,105,NBA,,,,indianapacers,clevelandcavaliers
2025-05-13,Denver Nuggets,Oklahoma City Thunder,0,105,112,NBA,,,,denvernuggets,oklahomacitythunder
2025-05-12,Boston Celtics,New York Knicks,0,113,121,NBA,,,,bostonceltics,newyorkknicks
2025-05-12,Minnesota Timberwolves,Golden State Warriors,1,117,110,NBA,,,,minnesotatimberwolves,goldenstatewarriors
2025-05-11,Oklahoma City Thunder,Denver Nuggets,1,92,87,NBA,,,,oklahomacitythunder,denvernuggets
2025-05-11,Cleveland Cavaliers,Indiana Pacers,0,109,129,NBA,,,,clevelandcavaliers,indianapacers
2025-05-10,Boston Celtics,New York Knicks,1,115,93,NBA,,,,bostonceltics,newyorkknicks
2025-05-10,Minnesota Timberwolves,Golden State Warriors,1,102,97,NBA,,,,minnesotatimberwolves,goldenstatewarriors
2025-05-09,Cleveland Cavaliers,Indiana Pacers,1,126,104,NBA,,,,clevelandcavaliers,indianapacers
2025-05-09,Oklahoma City Thunder,Denver Nuggets,0,104,113,NBA,,,,oklahomacitythunder,denvernuggets
2025-05-08,Golden State Warriors,Minnesota Timberwolves,0,93,117,NBA,,,,goldenstatewarriors,minnesotatimberwolves
2025-05-07,New York Knicks,Boston Celtics,1,91,90,NBA,,,,newyorkknicks,bostonceltics
2025-05-07,Denver Nuggets,Oklahoma City Thunder,0,106,149,NBA,,,,denvernuggets,oklahomacitythunder
2025-05-06,Indiana Pacers,Cleveland Cavaliers,1,120,119,NBA,,,,indianapacers,clevelandcavaliers
2025-05-06,Golden State Warriors,Minnesota Timberwolves,1,99,88,NBA,,,,goldenstatewarriors,minnesotatimberwolves
2025-05-05,New York Knicks,Boston Celtics,1,108,105,NBA,,,,newyorkknicks,bostonceltics
2025-05-05,Denver Nuggets,Oklahoma City Thunder,1,121,119,NBA,,,,denvernuggets,oklahomacitythunder
2025-05-04,Indiana Pacers,Cleveland Cavaliers,1,121,112,NBA,,,,indianapacers,clevelandcavaliers
2025-05-04,Golden State Warriors,Houston Rockets,1,103,89,NBA,,,,goldenstatewarriors,houstonrockets
2025-05-03,Los Angeles Clippers,Denver Nuggets,0,101,120,NBA,,,,losangelesclippers,denvernuggets
2025-05-02,Houston Rockets,Golden State Warriors,1,115,107,NBA,,,,houstonrockets,goldenstatewarriors
2025-05-01,New York Knicks,Detroit Pistons,1,116,113,NBA,,,,newyorkknicks,detroitpistons
2025-05-01,Denver Nuggets,Los Angeles Clippers,0,105,111,NBA,,,,denvernuggets,losangelesclippers
2025-04-30,Golden State Warriors,Houston Rockets,0,116,131,NBA,,,,goldenstatewarriors,houstonrockets
2025-04-30,Minnesota Timberwolves,Los Angeles Lakers,1,103,96,NBA,,,,minnesotatimberwolves,losangeleslakers
2025-04-29,Milwaukee Bucks,Indiana Pacers,0,118,119,NBA,,,,milwaukeebucks,indianapacers
2025-04-29,Detroit Pistons,New York Knicks,1,106,103,NBA,,,,detroitpistons,newyorkknicks
2025-04-29,Orlando Magic,Boston Celtics,0,89,120,NBA,,,,orlandomagic,bostonceltics
2025-04-29,Los Angeles Clippers,Denver Nuggets,0,115,131,NBA,,,,losangelesclippers,denvernuggets
2025-04-28,Cleveland Cavaliers,Miami Heat,1,138,83,NBA,,,,clevelandcavaliers,miamiheat
2025-04-28,Houston Rockets,Golden State Warriors,0,106,109,NBA,,,,houstonrockets,goldenstatewarriors
2025-10-05,Charlotte Hornets,Oklahoma City Thunder,0,114,135,NBA,,,,charlottehornets,oklahomacitythunder
2025-10-05,Golden State Warriors,Los Angeles Lakers,1,111,103,NBA,,,,goldenstatewarriors,losangeleslakers
2025-10-06,Miami Heat,Milwaukee Bucks,0,93,103,NBA,,,,miamiheat,milwaukeebucks
2025-10-06,Houston Rockets,Atlanta Hawks,1,122,113,NBA,,,,houstonrockets,atlantahawks
2025-10-06,Memphis Grizzlies,Detroit Pistons,0,112,128,NBA,,,,memphisgrizzlies,detroitpistons
2025-10-06,San Antonio Spurs,Guangzhou Loong-Lions,1,119,88,NBA,,,,sanantoniospurs,guangzhouloonglions
2025-10-06,Dallas Mavericks,Oklahoma City Thunder,1,106,89,NBA,,,,dallasmavericks,oklahomacitythunder
2025-10-06,Toronto Raptors,Denver Nuggets,0,108,112,NBA,,,,torontoraptors,denvernuggets
2025-10-06,Miami Heat,Milwaukee Bucks,0,93,103,,,,,miamiheat,milwaukeebucks
2025-10-06,Houston Rockets,Atlanta Hawks,1,122,113,,,,,houstonrockets,atlantahawks
2025-10-06,Memphis Grizzlies,Detroit Pistons,0,112,128,,,,,memphisgrizzlies,detroitpistons
2025-10-06,San Antonio Spurs,Guangzhou Loong-Lions,1,119,88,,,,,sanantoniospurs,guangzhouloonglions
2025-10-06,Dallas Mavericks,Oklahoma City Thunder,1,106,89,,,,,dallasmavericks,oklahomacitythunder
