date,home_team,away_team,outcome,home_score,away_score,league
2025-10-05,Cleveland Browns,Minnesota Vikings,0,17.0,21.0,
2025-10-05,Indianapolis Colts,Las Vegas Raiders,1,40.0,6.0,
2025-10-05,New Orleans Saints,New York Giants,1,26.0,14.0,
2025-10-05,New York Jets,Dallas Cowboys,0,22.0,37.0,
2025-10-05,Philadelphia Eagles,Denver Broncos,0,17.0,21.0,
2025-10-05,Carolina Panthers,Miami Dolphins,1,27.0,24.0,
2025-10-05,Baltimore Ravens,Houston Texans,0,10.0,44.0,
2025-10-05,Arizona Cardinals,Tennessee Titans,0,21.0,22.0,
2025-10-05,Seattle Seahawks,Tampa Bay Buccaneers,0,35.0,38.0,
2025-10-05,Cincinnati Bengals,Detroit Lions,0,24.0,37.0,
2025-10-05,Los Angeles Chargers,Washington Commanders,0,10.0,27.0,
2025-10-05,Buffalo Bills,New England Patriots,0,20.0,23.0,
2025-10-06,Jacksonville Jaguars,Kansas City Chiefs,1,31.0,28.0,
2025-10-06,Jacksonville Jaguars,Kansas City Chiefs,1,31.0,28.0,
2025-10-06,Jacksonville Jaguars,Kansas City Chiefs,1,31.0,28.0,
2025-10-06,Jacksonville Jaguars,Kansas City Chiefs,1,31.0,28.0,
2025-10-06,Jacksonville Jaguars,Kansas City Chiefs,1,31.0,28.0,
2025-10-06,Jacksonville Jaguars,Kansas City Chiefs,1,31.0,28.0,
