date,home_team,away_team,home_score,away_score,outcome,home_odds,away_odds,injuries_home,injuries_away,home_team_norm,away_team_norm
2025-10-03,New York Islanders,Philadelphia Flyers,1,4,3,NHL,,,,newyorkislanders,philadelphiaflyers
2025-10-03,Detroit Red Wings,Toronto Maple Leafs,1,3,1,NHL,,,,detroitredwings,torontomapleleafs
2025-10-03,Boston Bruins,Washington Capitals,1,3,1,NHL,,,,bostonbruins,washingtoncapitals
2025-06-17,Florida Panthers,Edmonton Oilers,1,5,1,NHL,,,,floridapanthers,edmontonoilers
2025-06-14,Edmonton Oilers,Florida Panthers,0,2,5,NHL,,,,edmontonoilers,floridapanthers
2025-06-12,Florida Panthers,Edmonton Oilers,0,4,5,NHL,,,,floridapanthers,edmontonoilers
2025-06-09,Edmonton Oilers,Florida Panthers,0,1,6,NHL,,,,edmontonoilers,floridapanthers
2025-06-06,Florida Panthers,Edmonton Oilers,1,5,4,NHL,,,,floridapanthers,edmontonoilers
2025-06-04,Edmonton Oilers,Florida Panthers,1,4,3,NHL,,,,edmontonoilers,floridapanthers
2025-05-29,Dallas Stars,Edmonton Oilers,0,3,6,NHL,,,,dallasstars,edmontonoilers
2025-05-27,Edmonton Oilers,Dallas Stars,1,4,1,NHL,,,,edmontonoilers,dallasstars
2025-05-25,Dallas Stars,Edmonton Oilers,0,1,6,NHL,,,,dallasstars,edmontonoilers
2025-05-23,Edmonton Oilers,Dallas Stars,1,3,0,NHL,,,,edmontonoilers,dallasstars
2025-05-21,Dallas Stars,Edmonton Oilers,1,6,3,NHL,,,,dallasstars,edmontonoilers
2025-05-28,Carolina Hurricanes,Florida Panthers,0,3,5,NHL,,,,carolinahurricanes,floridapanthers
2025-05-26,Florida Panthers,Carolina Hurricanes,0,0,3,NHL,,,,floridapanthers,carolinahurricanes
2025-05-24,Florida Panthers,Carolina Hurricanes,1,6,2,NHL,,,,floridapanthers,carolinahurricanes
2025-05-22,Carolina Hurricanes,Florida Panthers,0,0,5,NHL,,,,carolinahurricanes,floridapanthers
2025-05-20,Carolina Hurricanes,Florida Panthers,0,2,5,NHL,,,,carolinahurricanes,floridapanthers
2025-05-17,Dallas Stars,Winnipeg Jets,1,2,1,NHL,,,,dallasstars,winnipegjets
2025-05-15,Winnipeg Jets,Dallas Stars,1,4,0,NHL,,,,winnipegjets,dallasstars
2025-05-13,Dallas Stars,Winnipeg Jets,1,3,1,NHL,,,,dallasstars,winnipegjets
2025-05-11,Dallas Stars,Winnipeg Jets,1,5,2,NHL,,,,dallasstars,winnipegjets
2025-05-09,Winnipeg Jets,Dallas Stars,1,4,0,NHL,,,,winnipegjets,dallasstars
2025-05-07,Winnipeg Jets,Dallas Stars,0,2,3,NHL,,,,winnipegjets,dallasstars
2025-05-14,Vegas Golden Knights,Edmonton Oilers,0,0,1,NHL,,,,vegasgoldenknights,edmontonoilers
2025-05-12,Edmonton Oilers,Vegas Golden Knights,1,3,0,NHL,,,,edmontonoilers,vegasgoldenknights
